Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,x3eqqoZPV_E,BABYMONSTER - '춤 (CHOOM)' M/V,BABYMONSTER,Music,2026-05-04T09:21:33Z,00:03:25,32567788,966267,68163
2,Qb-N2obH5Os,《STRANGER THAN HEAVEN》發表第一支預告片,SEGAasia,Gaming,2026-05-07T00:09:01Z,00:04:58,57118,3039,347
3,uIn7RlD0lDo,[中文] DK vs KT | BRO vs BFX | 2026 LCK,LCK-Carry,Gaming,2026-05-07T12:45:10Z,04:57:03,236417,686,19
4,kRpaqR5sbf0,CORTIS (코르티스) 'TNT' Official MV,HYBE LABELS,Music,2026-05-04T08:58:06Z,00:03:04,3548159,457671,25479
5,ecbfKVwM508,【奧德賽】最新預告 - 17.07.26 全台戲院見,環球影片 官方頻道,Film & Animation,2026-05-05T05:09:27Z,00:02:26,203516,2461,258
6,xBjWnmLYHrc,Minecraft 讓紅月空手屠龍！去完成自製的10種特殊全成就生存【方塊boy】,方塊boy,Gaming,2026-05-06T08:00:06Z,00:48:12,115685,4908,216
7,SCySL2FKuCc,Blue Lips,CORTIS - Topic,Music,2026-05-04T09:00:40Z,00:02:22,1397436,95184,4607
8,YTUEuQTJxd4,【屍變焚場】官方預告 - 7月8日（週三）全家火葬場,Sony Pictures 索尼影業,Entertainment,2026-05-05T16:01:05Z,00:02:25,46680,738,155
9,BXNiAAq-Yz8,ROBLOX 按鈕！我們50人被困在監獄，按下按鈕就有機會逃出！但你朋友的頭也可能爆掉💀 (你會按嗎？)【The Button 好結局 + 真結局 - 有感筆電】,有感筆電 Daptoper,Gaming,2026-05-06T10:00:15Z,00:14:28,133170,4306,417
10,YBGMYSSYLZs,【MV首播】陳淑萍 vs 沈建豪 - 前世我欠你 (官方完整版MV) HD【三立八點檔『 百味人生』金曲片頭】,豪記唱片 HCM Music,Music,2026-05-05T02:00:06Z,00:05:14,47703,1338,105
11,0ogISr1zIjw,《鐵拳教育》| 正式前導預告 | Netflix,Netflix Taiwan,Entertainment,2026-05-07T00:00:00Z,00:01:21,15477,282,26
12,4ugbVz5DVS0,【DinTer】草人JG與雷茲鬼之菁英連招！特哥大跳一波把氣氛拉到最高點！當面跳大還能百分百恐懼對手？絕命雙排超歡樂局輸出全靠吼！,Dinter,Gaming,2026-05-06T09:00:10Z,00:17:00,60779,807,51
